11:16:41:887, Door added customer.
11:16:42:10, Door added customer.
11:16:42:132, Door added customer.
11:16:42:171, Thread-2: Customer 0 is now leaving.
11:16:42:255, Door added customer.
11:16:42:299, Thread-5: Customer 1 is now leaving.
11:16:42:377, Door added customer.
11:16:42:433, Thread-6: Customer 2 is now leaving.
11:16:42:500, Door added customer.
11:16:42:594, Thread-3: Customer 3 is now leaving.
11:16:42:622, Door added customer.
11:16:42:722, Thread-0: Customer 4 is now leaving.
11:16:42:746, Door added customer.
11:16:42:854, Thread-4: Customer 5 is now leaving.
11:16:42:871, Door added customer.
11:16:42:987, Thread-1: Customer 6 is now leaving.
11:16:44:439, *** DOOR IS NOW CLOSED ***
11:18:39:291, Door added customer 0 to waitingarea
11:18:39:291, Waitress fetched customer 0
11:18:39:427, Thread-0: Customer 0 is now eating.
11:18:39:485, Waitress fetched customer 1
11:18:39:485, Door added customer 1 to waitingarea
11:18:39:550, Thread-1: Customer 1 is now eating.
11:18:39:614, Waitress fetched customer 2
11:18:39:618, Door added customer 2 to waitingarea
11:18:39:680, Thread-6: Customer 2 is now eating.
11:18:39:743, Waitress fetched customer 3
11:18:39:744, Door added customer 3 to waitingarea
11:18:39:813, Thread-2: Customer 3 is now eating.
11:18:39:872, Door added customer 4 to waitingarea
11:18:39:873, Waitress fetched customer 4
11:18:39:943, Thread-5: Customer 4 is now eating.
11:18:40:03, Door added customer 5 to waitingarea
11:18:40:03, Waitress fetched customer 5
11:18:40:65, Thread-3: Customer 5 is now eating.
11:18:40:126, Waitress fetched customer 6
11:18:40:126, Door added customer 6 to waitingarea
11:18:40:194, Thread-4: Customer 6 is now eating.
11:18:40:255, Door added customer 7 to waitingarea
11:18:40:382, Door added customer 8 to waitingarea
11:18:40:505, Door added customer 9 to waitingarea
11:18:40:630, Door added customer 10 to waitingarea
11:18:40:754, Door added customer 11 to waitingarea
11:18:40:880, Door added customer 12 to waitingarea
11:18:41:02, Door added customer 13 to waitingarea
11:18:41:125, Door added customer 14 to waitingarea
11:18:41:249, Door added customer 15 to waitingarea
11:18:41:373, Door added customer 16 to waitingarea
11:18:41:500, Door added customer 17 to waitingarea
11:18:41:625, Door added customer 18 to waitingarea
11:18:41:748, Door added customer 19 to waitingarea
11:18:41:871, Door added customer 20 to waitingarea
11:18:41:943, Thread-0: Customer 0 is now leaving.
11:18:41:994, Door added customer 21 to waitingarea
11:18:42:53, Thread-1: Customer 1 is now leaving.
11:18:42:123, Door added customer 22 to waitingarea
11:18:42:186, Thread-6: Customer 2 is now leaving.
11:18:42:249, Door added customer 23 to waitingarea
11:18:42:329, Thread-2: Customer 3 is now leaving.
11:18:42:371, Door added customer 24 to waitingarea
11:18:42:447, Thread-5: Customer 4 is now leaving.
11:18:42:501, Door added customer 25 to waitingarea
11:18:42:568, Thread-3: Customer 5 is now leaving.
11:18:42:626, Door added customer 26 to waitingarea
11:18:42:697, Thread-4: Customer 6 is now leaving.
11:18:44:195, *** DOOR IS NOW CLOSED ***
13:13:53:647, Waitress fetched customer 0
13:13:53:647, Door added customer 0 to waitingarea
13:13:53:787, Thread-1: Customer 0 is now eating.
13:13:53:848, Waitress fetched customer 1
13:13:53:848, Door added customer 1 to waitingarea
13:13:53:913, Thread-3: Customer 1 is now eating.
